iter	Passed	Remaining
0	60	121629
1	64	64223
2	67	44931
3	70	35408
4	73	29470
5	76	25535
6	79	22692
7	82	20505
8	85	18856
9	87	17332
10	90	16360
11	93	15445
12	95	14672
13	98	13979
14	101	13373
15	103	12850
16	106	12404
17	109	12028
18	111	11673
19	114	11354
20	117	11092
21	120	10872
22	124	10678
23	127	10476
24	130	10316
25	133	10147
26	136	9958
27	139	9796
28	141	9649
29	144	9513
30	147	9380
31	150	9263
32	153	9135
33	156	9031
34	158	8925
35	162	8867
36	165	8768
37	168	8684
38	171	8618
39	174	8529
40	177	8464
41	180	8404
42	182	8319
43	185	8247
44	188	8183
45	190	8112
46	193	8060
47	196	8005
48	200	7990
49	203	7946
50	206	7891
51	209	7848
52	212	7800
53	214	7747
54	217	7691
55	220	7653
56	223	7610
57	225	7566
58	228	7531
59	231	7492
60	234	7451
61	237	7408
62	239	7370
63	242	7326
64	244	7288
65	247	7256
66	250	7222
67	252	7186
68	255	7159
69	258	7127
70	261	7099
71	263	7066
72	267	7057
73	269	7020
74	272	6991
75	275	6967
76	277	6938
77	280	6908
78	283	6883
79	285	6858
80	288	6845
81	291	6823
82	294	6801
83	297	6781
84	299	6756
85	302	6735
86	305	6712
87	308	6693
88	311	6688
89	314	6667
90	315	6623
91	318	6605
92	322	6621
93	325	6607
94	328	6585
95	330	6563
96	333	6540
97	336	6522
98	338	6502
99	341	6483
100	344	6478
101	347	6463
102	350	6449
103	353	6436
104	355	6420
105	358	6406
106	361	6389
107	363	6370
108	366	6357
109	369	6341
110	371	6328
111	374	6313
112	376	6295
113	379	6279
114	382	6264
115	384	6248
116	387	6237
117	390	6222
118	393	6222
119	396	6211
120	398	6195
121	401	6186
122	404	6176
123	407	6162
124	410	6156
125	412	6141
126	415	6128
127	418	6120
128	421	6106
129	423	6095
130	426	6083
131	429	6075
132	432	6065
133	434	6053
134	437	6043
135	440	6031
136	442	6020
137	445	6013
138	448	6003
139	451	5993
140	453	5981
141	456	5970
142	459	5961
143	462	5958
144	465	5950
145	468	5947
146	471	5941
147	474	5941
148	477	5932
149	480	5928
150	483	5917
151	486	5911
152	489	5904
153	491	5893
154	494	5882
155	497	5881
156	500	5874
157	503	5866
158	506	5859
159	508	5849
160	511	5841
161	514	5834
162	516	5825
163	519	5814
164	522	5807
165	525	5801
166	527	5793
167	530	5784
168	533	5783
169	536	5777
170	539	5771
171	542	5766
172	545	5759
173	548	5751
174	550	5744
175	553	5734
176	555	5726
177	558	5721
178	561	5714
179	564	5707
180	567	5698
181	569	5690
182	572	5682
183	574	5674
184	577	5666
185	580	5658
186	583	5653
187	585	5646
188	588	5640
189	591	5632
190	593	5624
191	596	5614
192	598	5606
193	601	5597
194	604	5596
195	607	5595
196	610	5588
197	613	5582
198	616	5576
199	618	5569
200	621	5563
201	624	5557
202	627	5551
203	629	5543
204	632	5537
205	635	5530
206	637	5523
207	640	5517
208	643	5512
209	646	5506
210	648	5501
211	652	5503
212	655	5497
213	657	5490
214	660	5484
215	663	5478
216	665	5472
217	668	5467
218	672	5468
219	675	5463
220	677	5456
221	680	5451
222	683	5447
223	686	5444
224	689	5438
225	692	5435
226	695	5431
227	698	5424
228	700	5418
229	703	5411
230	705	5405
231	708	5398
232	711	5392
233	713	5384
234	716	5379
235	718	5373
236	721	5368
237	724	5363
238	727	5357
239	730	5353
240	732	5347
241	735	5343
242	738	5337
243	740	5332
244	743	5328
245	746	5323
246	749	5316
247	751	5310
248	754	5309
249	757	5304
250	760	5298
251	763	5293
252	765	5287
253	769	5286
254	771	5280
255	774	5274
256	776	5268
257	780	5267
258	782	5262
259	785	5259
260	788	5254
261	791	5251
262	794	5246
263	797	5241
264	800	5237
265	802	5234
266	805	5228
267	808	5223
268	811	5222
269	814	5217
270	817	5212
271	820	5210
272	822	5204
273	825	5200
274	828	5196
275	830	5190
276	834	5188
277	836	5184
278	839	5179
279	842	5174
280	845	5170
281	848	5169
282	851	5167
283	854	5163
284	857	5160
285	860	5155
286	862	5150
287	865	5143
288	868	5139
289	871	5136
290	874	5136
291	877	5132
292	880	5127
293	883	5124
294	885	5119
295	888	5113
296	891	5109
297	893	5104
298	896	5098
299	898	5094
300	901	5088
301	904	5084
302	907	5080
303	910	5077
304	912	5072
305	915	5067
306	918	5063
307	920	5058
308	923	5054
309	926	5052
310	929	5048
311	932	5046
312	935	5042
313	938	5041
314	942	5042
315	945	5038
316	949	5039
317	952	5038
318	955	5034
319	958	5031
320	961	5026
321	964	5023
322	966	5019
323	969	5014
324	971	5009
325	974	5006
326	977	5002
327	980	4998
328	983	4994
329	986	4992
330	989	4987
331	991	4982
332	994	4978
333	997	4973
334	999	4969
335	1002	4965
336	1005	4961
337	1007	4956
338	1011	4955
339	1014	4952
340	1016	4947
341	1019	4942
342	1022	4939
343	1025	4935
344	1027	4930
345	1030	4926
346	1033	4922
347	1036	4918
348	1038	4913
349	1041	4908
350	1043	4904
351	1046	4899
352	1049	4897
353	1052	4894
354	1055	4891
355	1058	4890
356	1062	4887
357	1065	4888
358	1068	4884
359	1071	4879
360	1073	4875
361	1076	4871
362	1079	4867
363	1082	4863
364	1084	4859
365	1087	4856
366	1090	4852
367	1093	4848
368	1096	4844
369	1099	4843
370	1102	4839
371	1105	4835
372	1107	4832
373	1110	4827
374	1113	4823
375	1116	4820
376	1118	4816
377	1121	4812
378	1124	4808
379	1126	4804
380	1129	4799
381	1132	4798
382	1135	4793
383	1137	4788
384	1140	4785
385	1143	4780
386	1146	4776
387	1148	4772
388	1151	4768
389	1154	4765
390	1157	4761
391	1160	4760
392	1163	4757
393	1166	4753
394	1168	4749
395	1171	4745
396	1174	4740
397	1176	4737
398	1179	4734
399	1182	4729
400	1185	4725
401	1187	4721
402	1190	4718
403	1193	4714
404	1196	4712
405	1199	4709
406	1202	4706
407	1205	4702
408	1208	4699
409	1210	4695
410	1213	4691
411	1216	4687
412	1218	4684
413	1222	4681
414	1224	4677
415	1227	4674
416	1230	4671
417	1233	4667
418	1236	4666
419	1239	4663
420	1242	4659
421	1245	4655
422	1247	4652
423	1250	4648
424	1253	4644
