iter	MAE
0	52550.71422
1	50688.47579
2	48910.39584
3	47398.17005
4	45625.59663
5	44201.11832
6	42821.67764
7	41541.20946
8	40191.65344
9	39177.68999
10	38039.54129
11	37097.88731
12	36033.27152
13	35054.83592
14	34238.25925
15	33206.54176
16	32202.44274
17	31418.82216
18	30578.18802
19	29893.38089
20	29226.24748
21	28625.5334
22	28007.55202
23	27483.70698
24	26941.7362
25	26415.70151
26	25895.43494
27	25511.09594
28	24978.79781
29	24542.21871
30	24146.32763
31	23714.9424
32	23401.434
33	23070.23902
34	22668.9774
35	22298.4887
36	21918.13302
37	21636.70448
38	21342.3812
39	21062.2745
40	20758.94092
41	20540.0386
42	20325.67157
43	20123.98505
44	19865.09226
45	19684.31712
46	19352.58834
47	19101.33918
48	18903.88784
49	18743.50744
50	18471.47214
51	18300.10754
52	18123.97312
53	17927.20256
54	17809.38475
55	17644.82358
56	17462.9852
57	17278.15206
58	17139.84518
59	17017.21045
60	16881.68294
61	16721.57368
62	16598.27195
63	16434.14757
64	16327.9589
65	16133.78602
66	16029.77366
67	15930.92462
68	15790.40334
69	15699.55802
70	15576.42768
71	15423.78315
72	15307.14969
73	15214.50495
74	15108.73636
75	15027.56229
76	14952.05952
77	14853.12729
78	14783.5666
79	14718.99437
80	14651.41918
81	14531.55376
82	14478.91733
83	14382.48475
84	14283.89099
85	14210.44875
86	14144.72955
87	14059.80819
88	14002.59335
89	13915.19447
90	13867.62466
91	13803.11932
92	13743.2168
93	13677.29495
94	13630.25325
95	13582.91715
96	13516.79262
97	13443.13355
98	13388.44996
99	13302.22757
100	13242.82046
101	13179.27569
102	13116.05455
103	13049.17623
104	12989.97052
105	12962.06725
106	12919.38672
107	12858.93178
108	12789.6659
109	12721.39304
110	12680.68228
111	12645.75266
112	12584.78622
113	12511.38788
114	12468.8454
115	12430.26541
116	12389.09095
117	12347.51322
118	12320.45704
119	12282.13229
120	12236.28909
121	12204.60148
122	12149.43773
123	12116.42975
124	12084.5417
125	12029.23832
126	11950.46823
127	11927.41912
128	11857.04256
129	11806.27752
130	11733.71456
131	11686.53215
132	11623.25705
133	11582.0284
134	11552.75828
135	11498.9784
136	11448.7731
137	11400.39365
138	11348.77874
139	11287.65233
140	11231.20165
141	11197.98301
142	11170.45614
143	11133.56466
144	11080.62442
145	11047.78491
146	11012.70192
147	10965.08854
148	10930.95843
149	10880.37965
150	10849.09848
151	10810.2636
152	10735.74753
153	10703.48973
154	10651.60568
155	10617.71909
156	10582.96226
157	10530.12863
158	10475.25445
159	10444.69658
160	10413.50585
161	10374.1211
162	10344.36021
163	10291.80891
164	10258.14709
165	10224.69655
166	10198.89266
167	10151.42054
168	10114.66453
169	10059.99841
170	10026.8242
171	9979.315389
172	9952.274822
173	9909.572911
174	9833.725112
175	9775.694481
176	9734.323302
177	9698.855317
178	9641.137786
179	9613.225838
180	9585.248125
181	9543.206038
182	9510.812901
183	9485.559132
184	9455.575148
185	9417.763983
186	9396.253892
187	9369.989136
188	9317.567083
189	9277.067624
190	9251.788375
191	9222.860911
192	9192.442818
193	9165.199822
194	9119.596769
195	9099.057374
196	9065.209135
197	9029.850239
198	9004.987146
199	8974.084669
200	8942.880358
201	8926.393866
202	8889.765309
203	8857.203624
204	8830.960228
205	8805.040106
206	8776.768919
207	8746.00279
208	8713.203341
209	8701.467632
210	8680.928472
211	8651.649656
212	8620.30672
213	8596.089357
214	8573.200153
215	8556.843227
216	8518.098216
217	8493.934229
218	8474.051277
219	8461.296183
220	8430.815524
221	8413.093992
222	8394.790459
223	8365.786411
224	8326.754485
225	8293.502504
226	8269.560301
227	8235.792094
228	8221.254343
229	8192.573011
230	8155.750888
231	8119.936163
232	8091.092025
233	8073.261059
234	8053.595266
235	8031.636256
236	8009.684874
237	7962.73002
238	7922.756113
239	7886.032271
240	7865.620605
241	7845.635464
242	7822.825639
243	7801.291143
244	7772.314073
245	7735.954955
246	7715.071717
247	7691.837699
248	7676.344228
249	7666.899815
250	7646.834959
251	7626.798903
252	7610.332349
253	7592.10597
254	7572.699368
255	7550.67144
256	7522.317638
257	7502.102859
258	7492.652339
259	7482.017588
260	7452.28738
261	7424.438451
262	7405.927627
263	7379.715464
264	7359.515924
265	7336.312069
266	7321.314928
267	7276.837328
268	7252.500421
269	7238.744704
270	7223.114142
271	7208.39146
272	7187.790735
273	7171.558879
274	7160.399405
275	7140.099535
276	7125.292744
277	7105.829691
278	7076.623058
279	7057.585166
280	7045.845158
281	7027.852586
282	6985.347765
283	6965.554444
284	6953.000794
285	6936.78721
286	6915.779772
287	6905.939807
288	6893.211652
289	6873.423883
290	6862.966134
291	6850.98684
292	6833.338475
293	6818.753868
294	6795.850305
295	6775.453797
296	6766.990487
297	6741.027155
298	6729.170542
299	6705.833281
300	6697.667062
301	6675.291531
302	6662.815176
303	6652.036206
304	6633.1771
305	6622.519273
306	6589.015799
307	6581.03327
308	6561.230522
309	6545.304311
310	6538.304849
311	6526.124127
312	6515.124715
313	6497.5494
314	6486.704926
315	6470.699315
316	6442.705621
317	6429.142374
318	6412.735047
319	6402.63276
320	6390.639737
321	6373.786598
322	6357.850066
323	6352.267044
324	6338.899653
325	6326.850177
326	6316.03735
327	6300.141234
328	6285.964663
329	6263.533042
330	6255.4102
331	6235.525569
332	6221.437938
333	6216.523455
334	6204.109901
335	6183.864531
336	6166.400488
337	6157.351183
338	6151.312607
339	6142.242077
340	6127.861212
341	6121.334501
342	6105.320735
343	6094.186085
344	6085.85192
345	6060.768876
346	6045.195822
347	6040.697075
348	6021.458802
349	6010.652449
350	6004.230428
351	5988.165706
352	5967.444232
353	5960.895993
354	5949.333819
355	5941.614625
356	5929.667753
357	5912.242247
358	5899.637455
359	5889.644155
360	5873.580916
361	5860.344133
362	5849.18773
363	5843.469472
364	5831.26377
365	5817.95016
366	5807.133621
367	5797.221631
368	5787.44088
369	5777.208122
370	5773.029871
371	5762.323071
372	5737.43874
373	5728.863991
374	5718.36407
375	5709.74977
376	5703.646755
377	5696.344182
378	5689.425666
379	5673.2167
380	5663.611374
381	5655.71272
382	5637.827066
383	5625.224209
384	5615.473126
385	5610.267944
386	5600.370823
387	5585.950183
388	5574.417272
389	5565.657668
390	5556.045977
391	5548.05208
392	5541.458636
393	5535.490924
394	5527.9809
395	5522.018821
396	5517.78723
397	5505.347778
398	5499.300535
399	5494.248955
400	5485.335508
401	5478.167215
402	5473.815482
403	5464.333511
404	5458.767789
405	5451.813155
406	5440.341419
407	5427.704134
408	5419.395129
409	5412.812625
410	5405.03625
411	5398.745846
412	5384.717714
413	5375.086051
414	5363.28244
415	5352.452597
416	5337.866337
417	5318.236253
418	5309.449188
419	5298.831683
420	5295.820905
421	5280.896467
422	5273.03437
423	5267.129227
424	5251.703602
425	5248.791969
426	5243.18788
427	5234.131415
428	5230.432921
429	5223.352
430	5213.35589
431	5207.5969
432	5200.334517
433	5194.186482
434	5187.464251
435	5182.317721
436	5175.614927
437	5169.438853
438	5160.815349
439	5151.163475
440	5144.205466
441	5132.812012
442	5124.612257
443	5119.686847
444	5110.07779
445	5099.611819
446	5091.030285
447	5085.3015
448	5076.352375
449	5068.019773
450	5059.049127
451	5047.691038
452	5043.161211
453	5034.931333
454	5026.850878
455	5018.76509
456	5013.164954
457	5008.986743
458	5000.374845
459	4994.293687
460	4987.399127
461	4978.926627
462	4967.111592
463	4958.09883
464	4950.3487
465	4937.026156
466	4925.59874
467	4920.96455
468	4915.050419
469	4906.851298
470	4896.756426
471	4889.198783
472	4886.161729
473	4875.408296
474	4869.606814
475	4862.414744
476	4857.093586
477	4852.205732
478	4840.132312
479	4829.989408
480	4825.536704
481	4818.021209
482	4810.164917
483	4806.583448
484	4802.643348
485	4797.539655
486	4794.172399
487	4785.388111
488	4770.821232
489	4763.318634
490	4757.318076
491	4750.858508
492	4747.006477
493	4738.997041
494	4728.277247
495	4725.866872
496	4722.109492
497	4711.272985
498	4700.208802
499	4694.803542
500	4687.144592
501	4684.771858
502	4670.512409
503	4660.995529
504	4657.353684
505	4652.476357
506	4647.458903
507	4639.683955
508	4635.330358
509	4633.423355
510	4626.455418
511	4624.616837
512	4611.96509
513	4604.647224
514	4601.88289
515	4595.43993
516	4583.596543
517	4580.104953
518	4574.239647
519	4566.845018
520	4562.419978
521	4557.841366
522	4554.156261
523	4553.156813
524	4546.367593
525	4543.247967
526	4541.658048
527	4529.211569
528	4525.14486
529	4518.633301
530	4513.459186
531	4509.771378
532	4506.226752
533	4499.953096
534	4494.948125
535	4493.043287
536	4488.188657
537	4485.187828
538	4481.84784
539	4473.980412
540	4466.450976
541	4462.116795
542	4454.24429
543	4450.648383
544	4445.74252
545	4442.655776
546	4440.848121
547	4434.729036
548	4429.783918
549	4419.198133
550	4414.252859
551	4409.932001
552	4407.860969
553	4404.544169
554	4401.075828
555	4393.235192
556	4386.904657
557	4384.620133
558	4378.494367
559	4370.836188
560	4366.458341
561	4353.128715
562	4350.69081
563	4340.567827
564	4335.096899
565	4325.192512
566	4312.94166
567	4305.730135
568	4303.266459
569	4296.403274
570	4292.207598
571	4289.102978
572	4285.171655
573	4279.516403
574	4277.404245
575	4274.113493
576	4271.672306
577	4268.784059
578	4257.845395
579	4255.640633
