iter	Passed	Remaining
0	60	120016
1	64	64752
2	68	45805
3	71	35768
4	75	30081
5	78	25941
6	80	23054
7	84	20998
8	87	19258
9	88	17658
10	91	16479
11	94	15598
12	97	14884
13	100	14253
14	103	13719
15	106	13202
16	108	12713
17	111	12286
18	115	11990
19	118	11689
20	121	11412
21	124	11167
22	127	10918
23	130	10706
24	133	10524
25	136	10343
26	139	10184
27	142	10011
28	145	9873
29	148	9742
30	151	9636
31	154	9506
32	158	9430
33	161	9324
34	164	9219
35	167	9114
36	169	9009
37	173	8935
38	175	8834
39	178	8738
40	181	8652
41	183	8573
42	186	8507
43	189	8428
44	192	8377
45	195	8310
46	199	8276
47	202	8243
48	205	8200
49	208	8140
50	211	8076
51	214	8017
52	216	7965
53	219	7914
54	222	7869
55	225	7821
56	228	7776
57	230	7721
58	233	7685
59	236	7643
60	239	7601
61	241	7562
62	244	7531
63	247	7494
64	250	7461
65	253	7429
66	256	7396
67	258	7358
68	261	7322
69	264	7291
70	267	7259
71	270	7235
72	272	7203
73	276	7191
74	278	7156
75	281	7137
76	284	7108
77	287	7080
78	290	7052
79	292	7029
80	295	7008
81	298	6984
82	301	6959
83	304	6936
84	307	6923
85	310	6910
86	313	6890
87	316	6869
88	318	6849
89	321	6832
90	323	6790
91	326	6767
92	329	6748
93	331	6731
94	334	6713
95	337	6693
96	340	6680
97	343	6672
98	347	6665
99	349	6649
100	353	6649
101	356	6631
102	359	6612
103	362	6599
104	364	6583
105	367	6571
106	370	6559
107	373	6540
108	376	6526
109	379	6515
110	381	6498
111	384	6481
112	387	6469
113	389	6450
114	392	6441
115	395	6424
116	398	6411
117	401	6399
118	403	6384
119	406	6369
120	409	6365
121	412	6352
122	415	6336
123	417	6321
124	420	6308
125	423	6296
126	427	6300
127	429	6285
128	432	6276
129	435	6270
130	438	6259
131	441	6249
132	444	6241
133	447	6238
134	450	6228
135	453	6212
136	456	6203
137	459	6196
138	461	6183
139	464	6172
140	467	6162
141	470	6150
142	473	6148
143	476	6136
144	479	6128
145	481	6117
146	485	6113
147	487	6102
148	490	6095
149	493	6084
150	496	6081
151	499	6071
152	502	6062
153	504	6051
154	507	6043
155	510	6036
156	513	6026
157	516	6016
158	518	6008
159	521	5999
160	524	5992
161	528	5991
162	530	5982
163	533	5977
164	536	5970
165	540	5966
166	543	5962
167	545	5952
168	548	5945
169	551	5935
170	554	5926
171	557	5923
172	560	5916
173	562	5907
174	565	5899
175	568	5894
176	572	5891
177	574	5883
178	577	5878
179	580	5870
180	583	5861
181	585	5852
182	589	5848
183	591	5842
184	594	5835
185	597	5826
186	600	5817
187	602	5811
188	606	5806
189	608	5799
190	611	5791
191	614	5785
192	617	5781
193	620	5774
194	623	5774
195	626	5766
196	629	5759
197	632	5752
198	634	5744
199	637	5736
200	640	5732
201	643	5724
202	645	5715
203	648	5707
204	651	5700
